a,b,c,n,v
2018-03-22,2018-03-23,2018-03-14,no,165.3
2018-10-14,2018-10-15,2018-10-02,ch,165.3
2018-08-31,2018-09-01,2018-05-16,de,165.3
2018-09-02,2018-09-03,2018-08-30,ch,165.6
2018-11-25,2018-11-26,2018-04-22,ch,165.6
2018-04-06,2018-04-07,2018-03-16,ch,165.6
2018-11-17,2018-11-18,2018-11-17,ch,165.6
2018-12-30,2018-12-31,2018-12-04,fr,165.6
2018-09-16,2018-09-17,2018-09-16,ch,165.6
2018-12-15,2018-12-16,2018-12-13,ch,165.6
2018-12-29,2018-12-30,2018-12-26,ch,165.6
2018-06-15,2018-06-16,2017-11-29,us,165.6
2018-11-04,2018-11-05,2018-11-03,us,165.6
2018-04-28,2018-04-29,2018-03-27,ch,165.6
2018-11-23,2018-11-24,2018-11-22,kr,165.6
2018-11-25,2018-11-26,2018-11-23,ch,165.6
2019-01-01,2019-01-02,2018-12-17,ch,165.6
2018-04-30,2018-05-01,2018-01-17,ca,165.6
2018-07-07,2018-07-08,2018-07-03,ch,165.6
2018-11-10,2018-11-11,2018-10-09,ch,165.6
2018-09-07,2018-09-08,2018-02-03,jp,165.6
2018-07-27,2018-07-28,2018-01-02,de,165.6
2018-07-27,2018-07-28,2018-06-24,fr,165.6
2018-10-01,2018-10-02,2018-03-09,ch,165.6
2018-07-26,2018-07-27,2018-07-25,no,165.6
2018-06-04,2018-06-05,2018-06-04,ch,165.6
2018-12-09,2018-12-10,2018-11-28,ch,165.6
2018-12-27,2018-12-28,2018-12-24,fr,165.6
2018-08-01,2018-08-02,2018-07-26,ch,165.6
2018-08-06,2018-08-07,2018-08-06,ch,165.6
2018-09-21,2018-09-22,2018-05-28,tw,165.6
2018-09-23,2018-09-24,2018-09-21,au,165.6
2018-08-03,2018-08-04,2018-02-28,hk,165.6
2018-10-27,2018-10-28,2018-10-01,ch,165.6
2018-08-03,2018-08-04,2018-07-19,kr,165.6
2018-11-10,2018-11-11,2018-10-09,ch,165.6
2018-07-26,2018-07-27,2018-07-25,ch,165.6
2018-07-28,2018-07-29,2018-07-28,ch,165.6
2018-11-04,2018-11-05,2018-10-31,ch,165.6
2018-05-21,2018-05-22,2017-11-29,gb,165.6
2018-01-08,2018-01-09,2017-12-27,mx,165.6
2018-09-22,2018-09-23,2018-06-09,us,165.6
2018-07-13,2018-07-14,2018-07-13,ch,165.6
2018-10-28,2018-10-29,2018-10-20,ch,165.6
2018-08-04,2018-08-05,2018-08-02,gb,165.6
2018-09-01,2018-09-02,2018-08-29,ch,165.6
2018-07-23,2018-07-24,2018-02-11,nl,165.6
2018-12-29,2018-12-30,2018-09-20,de,165.6
2018-08-24,2018-08-25,2018-01-25,pt,165.6
2018-07-28,2018-07-29,2018-07-23,ch,165.6
2018-10-27,2018-10-28,2018-10-23,ch,165.6
2018-10-27,2018-10-28,2018-10-25,ch,165.6
2018-12-02,2018-12-03,2018-12-01,ch,165.6
2018-09-22,2018-09-23,2018-09-20,ch,165.6
2018-07-14,2018-07-15,2018-07-01,it,165.6
2018-02-26,2018-02-27,2018-02-25,jp,165.6
2018-12-01,2018-12-02,2018-11-30,be,165.6
2018-12-28,2018-12-29,2018-12-03,it,165.6
2019-01-03,2019-01-04,2019-01-03,it,165.6
2018-07-20,2018-07-21,2018-07-11,ch,165.6
2018-10-07,2018-10-08,2018-10-05,ch,165.6
2018-10-13,2018-10-14,2018-10-10,ch,165.6
2018-05-11,2018-05-12,2018-05-03,ch,165.6
2018-07-28,2018-07-29,2018-07-27,nl,165.6
2018-05-21,2018-05-22,2017-11-29,gb,165.6
2018-04-13,2018-04-14,2018-03-01,ch,165.6
2018-07-28,2018-07-29,2018-07-27,ru,165.6
2018-07-01,2018-07-02,2018-07-01,hk,165.6
2018-07-23,2018-07-24,2018-07-19,de,165.6
2018-07-21,2018-07-22,2018-07-21,ch,165.6
2018-07-31,2018-08-01,2018-07-26,us,165.6
2018-07-27,2018-07-28,2018-07-10,us,165.6
2018-08-24,2018-08-25,2018-01-25,pt,165.6
2018-07-21,2018-07-22,2018-07-20,us,165.6
2018-07-30,2018-07-31,2018-07-25,us,165.6
2018-09-21,2018-09-22,2018-03-20,tw,165.6
2018-12-06,2018-12-07,2018-12-01,cy,165.6
2018-12-15,2018-12-16,2018-12-15,ch,165.6
2018-02-23,2018-02-24,2017-11-29,us,165.6
2018-07-26,2018-07-27,2018-07-24,us,165.6
2018-01-08,2018-01-09,2017-12-09,gf,165.6
2018-12-29,2018-12-30,2018-12-26,ch,165.6
2018-06-15,2018-06-16,2017-11-29,us,165.6
2018-08-25,2018-08-26,2017-11-30,ch,165.6
2018-10-13,2018-10-14,2018-10-09,de,165.6
2018-07-07,2018-07-08,2018-06-19,kr,165.6
2018-12-29,2018-12-30,2018-12-27,ch,165.6
2018-11-26,2018-11-27,2018-11-26,ch,165.8
2018-10-14,2018-10-15,2018-10-02,ch,165.8
2018-04-05,2018-04-06,2018-04-05,ch,165.8
2018-02-20,2018-02-21,2018-02-06,fr,165.8
2018-09-03,2018-09-04,2018-08-29,ch,166
2018-04-10,2018-04-11,2018-04-10,ch,166
2018-09-08,2018-09-09,2018-09-07,gf,166
2018-11-22,2018-11-23,2018-11-21,br,166.3
2018-04-26,2018-04-27,2018-04-26,gf,166.3
2018-11-08,2018-11-09,2018-11-08,ch,166.3
2018-06-14,2018-06-15,2018-06-12,ch,166.3
2018-08-30,2018-08-31,2018-08-20,ch,166.3
2018-11-22,2018-11-23,2018-11-15,ch,166.3
2018-11-26,2018-11-27,2018-11-23,cz,166.3
2018-12-10,2018-12-11,2018-11-29,ch,166.3
2018-08-20,2018-08-21,2018-08-16,de,166.3
2018-04-17,2018-04-18,2018-04-16,de,166.4
2018-04-30,2018-05-01,2018-04-29,ch,166.6
2018-07-28,2018-07-29,2018-05-09,tw,166.6
2018-04-21,2018-04-22,2018-02-20,ch,166.6
2018-02-15,2018-02-16,2018-02-12,ch,166.6
2018-07-29,2018-07-30,2018-07-29,gf,166.6
2018-11-26,2018-11-27,2018-11-26,fr,166.6
2018-02-15,2018-02-16,2018-02-11,ch,166.6
2017-12-31,2018-01-01,2017-12-27,ch,166.6
2018-07-13,2018-07-14,2018-01-29,ch,166.6
2018-02-11,2018-02-12,2018-02-05,fr,167.1
2018-04-30,2018-05-01,2018-04-30,cn,167.2
2018-11-12,2018-11-13,2018-11-12,fr,167.2
2018-07-21,2018-07-22,2018-02-27,br,167.2
2018-04-30,2018-05-01,2018-04-30,cn,167.2
2018-05-11,2018-05-12,2018-05-11,ch,167.2
2018-11-14,2018-11-15,2018-09-22,gf,167.3
2018-03-13,2018-03-14,2018-01-23,ch,167.3
2018-07-17,2018-07-18,2018-06-23,ch,167.3
2018-11-19,2018-11-20,2018-09-30,null,167.3
2018-05-16,2018-05-17,2018-05-08,de,167.3
2018-08-16,2018-08-17,2018-08-13,ch,167.3
2018-06-02,2018-06-03,2018-04-23,ch,167.3
2018-10-31,2018-11-01,2018-10-30,jp,167.3
2019-01-09,2019-01-10,2019-01-06,ch,167.3
2018-05-14,2018-05-15,2018-05-14,de,167.3
2018-02-06,2018-02-07,2018-01-25,ch,167.3
2018-11-16,2018-11-17,2018-11-13,ch,167.3
2018-11-14,2018-11-15,2018-09-22,ch,167.3
2018-03-16,2018-03-17,2018-03-11,ch,167.3
2018-06-07,2018-06-08,2018-06-05,gf,167.3
2018-09-08,2018-09-09,2018-09-05,be,167.3
2018-06-11,2018-06-12,2017-12-27,us,167.35
2018-06-09,2018-06-10,2018-04-26,ch,167.35
2018-12-31,2019-01-01,2018-12-16,ch,167.6
2018-01-29,2018-01-30,2018-01-23,kr,167.6
2018-02-10,2018-02-12,2018-02-07,at,167.6
2017-12-29,2017-12-30,2017-11-29,es,167.6
2017-12-25,2017-12-26,2017-12-02,ch,167.6
2018-10-05,2018-10-06,2018-10-01,de,167.6
2018-11-26,2018-11-27,2018-11-22,ch,167.6
2019-01-04,2019-01-05,2018-12-11,fr,167.8
2018-04-18,2018-04-19,2018-04-10,gf,167.9
2018-04-30,2018-05-01,2018-04-16,ch,167.9
2018-03-23,2018-03-24,2018-02-28,gf,167.9
2018-02-07,2018-02-08,2018-01-29,ch,168.3
2018-02-07,2018-02-08,2018-01-29,ch,168.3
2018-08-15,2018-08-16,2018-08-14,gb,168.3
2018-10-15,2018-10-16,2018-08-08,us,168.3
2018-08-30,2018-08-31,2018-08-29,ch,168.3
2018-02-14,2018-02-15,2018-02-13,ch,168.6
2018-09-28,2018-09-29,2018-09-13,us,168.6
2018-07-23,2018-07-24,2018-07-22,gb,168.6
2018-12-01,2018-12-02,2018-11-26,gf,168.6
2018-02-22,2018-02-23,2018-02-21,ch,168.6
2018-03-27,2018-03-28,2018-03-19,ch,168.6
2018-07-12,2018-07-13,2018-07-12,us,168.6
2018-11-25,2018-11-26,2018-11-22,ch,168.6
2018-04-20,2018-04-21,2018-04-07,gr,168.6
2018-10-01,2018-10-02,2018-09-10,de,168.6
2018-03-01,2018-03-02,2018-03-01,ch,168.6
2018-11-02,2018-11-03,2018-10-26,ch,168.6
2019-01-07,2019-01-08,2019-01-07,ch,168.6
2018-12-15,2018-12-16,2018-10-27,ch,168.6
2018-11-02,2018-11-03,2018-10-26,ch,168.6
2018-07-19,2018-07-20,2018-07-16,kr,168.6
2018-11-09,2018-11-10,2018-11-05,ch,168.6
2018-08-17,2018-08-18,2018-07-28,ch,168.6
2018-06-09,2018-06-10,2018-05-20,ch,168.6
2018-12-18,2018-12-19,2018-12-12,ch,168.6
2018-09-15,2018-09-16,2018-03-24,au,168.6
2018-06-08,2018-06-09,2017-11-29,au,168.6
2018-04-02,2018-04-03,2018-03-19,de,168.7
2018-03-26,2018-03-27,2018-03-14,de,168.8
2018-03-26,2018-03-27,2018-03-14,de,168.8
2018-04-30,2018-05-01,2018-04-30,ch,169
2018-03-24,2018-03-25,2018-03-18,gf,169
2018-11-25,2018-11-26,2018-08-11,ch,169.2
2018-12-06,2018-12-07,2018-06-12,null,169.2
2018-07-11,2018-07-12,2018-07-11,fr,169.3
2018-08-13,2018-08-14,2018-08-07,gf,169.3
2018-02-19,2018-02-20,2018-02-12,ch,169.3
2018-09-15,2018-09-16,2018-09-01,ch,169.3
2018-08-21,2018-08-22,2018-08-08,ch,169.3
2018-10-18,2018-10-19,2018-10-08,fr,169.3
2018-08-21,2018-08-22,2018-08-08,ch,169.3
2018-11-15,2018-11-16,2018-11-02,ch,169.3
2018-02-19,2018-02-20,2018-02-12,ch,169.3
2018-08-01,2018-08-02,2018-07-24,es,169.6
2018-05-26,2018-05-27,2018-04-22,gb,169.6
2018-02-07,2018-02-08,2018-01-05,ch,169.6
2018-02-26,2018-02-27,2018-02-23,ch,169.6
2018-07-30,2018-07-31,2018-07-12,se,169.6
2018-03-08,2018-03-09,2018-03-07,gf,169.6
2018-03-24,2018-03-25,2018-02-23,ch,169.6
2017-12-30,2017-12-31,2017-11-29,be,169.6
2018-08-02,2018-08-03,2018-07-16,ch,169.6
2018-05-12,2018-05-13,2018-04-08,gb,169.6
2019-01-08,2019-01-09,2018-12-03,ch,169.6
2019-01-08,2019-01-09,2018-12-03,ch,169.6
2018-02-13,2018-02-14,2018-02-06,de,169.6
2017-12-31,2018-01-01,2017-12-31,ch,169.6
2018-02-08,2018-02-09,2018-02-07,ch,169.6
2018-07-23,2018-07-24,2018-07-13,ch,169.6
2018-09-03,2018-09-04,2018-09-03,cn,170
2018-12-22,2018-12-23,2018-11-13,gf,170.2
2018-08-17,2018-08-18,2018-07-28,ch,170.2
2018-09-17,2018-09-18,2018-08-30,ch,170.3
2018-10-18,2018-10-19,2018-10-16,ch,170.3
2018-12-24,2018-12-25,2018-12-24,tw,170.3
2018-09-17,2018-09-18,2018-09-06,de,170.3
2018-01-23,2018-01-24,2018-01-18,de,170.3
2018-10-15,2018-10-16,2018-10-11,gf,170.3
2018-04-11,2018-04-12,2018-04-10,gf,170.3
2018-03-12,2018-03-13,2018-03-05,ch,170.6
2018-03-08,2018-03-09,2017-12-29,ch,170.6
2017-12-21,2017-12-22,2017-11-29,it,170.6
2018-08-16,2018-08-17,2018-08-13,ch,170.6
2018-12-01,2018-12-02,2018-11-13,gf,170.6
2018-04-17,2018-04-18,2018-04-17,br,170.6
2018-02-27,2018-03-01,2018-02-24,ch,170.6
2018-02-06,2018-02-07,2018-02-06,au,170.6
2018-04-08,2018-04-09,2018-03-10,kr,170.6
2018-02-06,2018-02-07,2018-02-04,ch,170.6
2018-07-22,2018-07-23,2018-01-24,jp,170.6
2018-11-17,2018-11-18,2018-10-22,gf,170.6
2018-11-03,2018-11-04,2018-06-17,ch,170.6
2018-02-22,2018-02-24,2018-01-15,ch,170.6
2018-03-16,2018-03-17,2018-02-06,es,170.6
2018-10-27,2018-10-28,2018-01-16,gf,170.6
2018-05-05,2018-05-06,2018-02-25,ch,170.6
2018-11-17,2018-11-18,2018-10-22,gf,170.6
2018-12-13,2018-12-14,2018-11-21,gf,170.6
2018-02-22,2018-02-24,2018-01-15,ch,170.6
2018-09-01,2018-09-02,2018-08-31,us,170.6
2018-03-08,2018-03-09,2018-01-18,ch,170.6
2017-12-31,2018-01-01,2017-12-24,ch,170.6
2018-03-29,2018-03-31,2018-03-29,ch,170.6
2018-08-31,2018-09-01,2018-08-29,de,170.6
2018-11-03,2018-11-04,2018-06-17,ch,170.6
2018-11-09,2018-11-10,2018-11-06,gf,171.2
2018-08-13,2018-08-14,2018-08-13,de,171.3
2018-04-24,2018-04-25,2018-04-23,gf,171.3
2018-11-07,2018-11-08,2018-10-12,ch,171.3
2018-08-13,2018-08-14,2018-08-08,null,171.3
2018-05-28,2018-05-29,2018-05-15,gf,171.3
2018-06-06,2018-06-07,2018-06-01,null,171.3
2018-09-24,2018-09-25,2018-09-10,ch,171.3
2018-07-02,2018-07-03,2018-07-02,ch,171.3
2018-08-29,2018-08-30,2018-08-24,null,171.3
2018-06-25,2018-06-26,2018-06-24,ch,171.3
2018-08-13,2018-08-14,2018-08-08,null,171.3
2018-08-29,2018-08-30,2018-07-23,gf,171.3
2018-04-18,2018-04-19,2018-03-23,de,171.3
2018-08-29,2018-08-30,2018-08-24,null,171.3
2018-09-17,2018-09-18,2018-08-29,ch,171.3
2018-11-21,2018-11-22,2018-11-17,ch,171.3
2018-10-17,2018-10-18,2018-10-14,ch,171.3
2018-01-18,2018-01-19,2018-01-11,ch,171.3
2018-05-31,2018-06-01,2018-05-30,gf,171.3
2018-11-08,2018-11-09,2018-10-18,ch,171.3
2018-08-28,2018-08-29,2018-08-17,de,171.3
2018-05-02,2018-05-03,2018-04-20,null,171.3
2018-10-22,2018-10-23,2018-10-03,ch,171.3
2018-10-03,2018-10-04,2018-08-15,ch,171.3
2018-06-28,2018-06-29,2018-05-29,ch,171.3
2018-07-05,2018-07-06,2018-04-06,at,171.3
2018-03-22,2018-03-23,2018-02-27,gf,171.3
2018-04-26,2018-04-27,2018-04-25,gf,171.55
2018-09-22,2018-09-23,2018-09-12,lu,171.6
2018-03-05,2018-03-06,2018-01-23,ch,171.6
2018-09-01,2018-09-02,2018-08-20,de,171.6
2018-02-12,2018-02-13,2018-02-11,de,171.6
2018-12-25,2018-12-26,2018-12-15,it,171.6
2019-01-06,2019-01-07,2019-01-05,br,171.6
2018-11-10,2018-11-11,2018-10-01,ch,171.6
2018-03-05,2018-03-06,2018-01-23,ch,171.6
2018-11-26,2018-11-27,2018-11-24,ch,171.6
2018-06-15,2018-06-16,2018-06-14,in,171.6
2018-12-01,2018-12-02,2018-11-25,ch,171.6
2018-12-29,2018-12-30,2018-12-18,it,171.6
2018-11-09,2018-11-10,2018-08-24,sg,171.6
2018-08-17,2018-08-18,2018-06-03,kr,171.6
2018-09-03,2018-09-04,2018-09-03,ch,171.6
2018-09-22,2018-09-23,2018-09-12,lu,171.6
2017-12-31,2018-01-01,2017-12-28,us,171.6
2018-05-12,2018-05-13,2018-04-29,ch,171.95
2018-05-05,2018-05-06,2018-04-08,gf,172
2018-01-12,2018-01-13,2017-12-08,ch,172.1
2018-06-09,2018-06-10,2018-05-20,gf,172.1
2018-05-28,2018-05-29,2018-01-13,hk,172.2
2018-10-18,2018-10-19,2018-10-05,de,172.3
2018-05-29,2018-05-30,2018-05-28,de,172.3
2018-11-08,2018-11-10,2018-06-08,de,172.3
2018-10-18,2018-10-19,2018-10-05,de,172.3
2018-06-21,2018-06-22,2018-06-18,ch,172.3
2018-11-29,2018-11-30,2018-08-06,ch,172.3
2018-02-19,2018-02-20,2018-02-16,ch,172.3
2018-04-10,2018-04-11,2018-04-10,au,172.3
2019-01-09,2019-01-10,2018-12-21,ch,172.3
2018-11-06,2018-11-07,2018-10-11,de,172.3
2018-08-20,2018-08-21,2018-08-17,ch,172.3
2018-10-09,2018-10-10,2018-10-08,ch,172.3
2018-04-08,2018-04-09,2018-04-06,ch,172.6
2018-04-05,2018-04-06,2017-12-31,my,172.6
2018-04-24,2018-04-25,2017-11-29,th,172.6
2018-07-02,2018-07-03,2017-12-12,us,172.6
2018-09-29,2018-09-30,2018-09-09,ch,172.6
2018-02-26,2018-02-27,2018-02-26,th,172.6
2018-07-21,2018-07-22,2018-07-15,gf,172.6
2018-11-17,2018-11-18,2018-10-03,ch,172.6
2018-09-29,2018-09-30,2018-09-09,ch,172.6
2018-08-12,2018-08-13,2018-08-10,fr,172.6
2018-12-08,2018-12-09,2018-11-01,ch,172.6
2018-04-10,2018-04-11,2017-11-29,ar,172.6
2018-09-27,2018-09-28,2018-03-12,hk,172.6
2018-04-24,2018-04-25,2017-11-29,th,172.6
2018-03-16,2018-03-17,2018-03-04,ch,172.6
2018-11-09,2018-11-10,2018-11-08,ch,172.6
2018-04-11,2018-04-12,2018-03-27,us,172.6
2018-10-12,2018-10-13,2018-10-10,ch,172.6
2018-09-27,2018-09-28,2018-03-12,hk,172.6
2018-04-24,2018-04-25,2017-11-29,th,172.6
2018-12-15,2018-12-16,2018-12-04,ch,172.6
2018-09-28,2018-09-29,2018-09-14,ch,172.6
2018-04-24,2018-04-25,2017-11-29,th,172.6
2018-12-20,2018-12-21,2018-12-03,id,172.6
2019-01-09,2019-01-10,2018-12-23,ch,172.6
2018-09-29,2018-09-30,2018-09-26,ch,172.6
2018-11-20,2018-11-21,2018-11-20,es,173.1
2018-02-07,2018-02-08,2018-02-02,kr,173.3
2018-04-10,2018-04-11,2018-04-09,ch,173.3
2018-04-14,2018-04-15,2018-02-16,th,173.3
2018-12-17,2018-12-18,2018-12-14,ch,173.3
2018-11-26,2018-11-27,2018-11-25,ch,173.6
2018-07-14,2018-07-15,2018-06-29,ch,173.6
2018-07-12,2018-07-13,2018-07-05,de,173.6
2018-11-16,2018-11-17,2018-10-25,ch,173.6
2018-02-03,2018-02-04,2018-01-08,de,173.6
2018-06-02,2018-06-03,2018-03-13,ch,173.6
2018-10-13,2018-10-14,2018-10-04,es,173.6
2018-05-19,2018-05-20,2018-04-28,ch,173.6
2018-07-30,2018-07-31,2018-07-25,ch,173.6
2018-10-13,2018-10-14,2018-10-04,es,173.6
2018-06-09,2018-06-10,2018-05-06,ch,173.8
2018-11-27,2018-11-28,2018-11-27,ch,173.8
2018-02-21,2018-02-22,2018-01-31,de,174
2018-09-28,2018-09-29,2018-09-27,md,174.2
2018-11-26,2018-11-27,2018-11-22,de,174.3
2018-10-18,2018-10-19,2018-10-17,ch,174.3
2018-06-17,2018-06-18,2018-06-06,fr,174.3
2018-11-05,2018-11-06,2018-10-12,de,174.3
2018-10-16,2018-10-17,2018-10-15,ch,174.3
2018-05-29,2018-05-30,2018-05-28,ch,174.3
2018-01-30,2018-01-31,2018-01-30,ch,174.3
2018-08-14,2018-08-15,2018-08-14,ch,174.3
2018-12-05,2018-12-06,2018-11-30,gf,174.3
2018-08-11,2018-08-12,2018-03-13,ch,174.6
2018-01-06,2018-01-08,2017-12-26,jp,174.6
2017-12-25,2017-12-26,2017-11-29,ch,174.6
2018-08-11,2018-08-12,2018-04-05,us,174.6
2018-12-31,2019-01-01,2018-12-22,gb,174.6
2018-08-05,2018-08-06,2018-07-29,ch,174.6
2018-04-30,2018-05-01,2018-04-16,ch,174.6
2018-05-12,2018-05-13,2018-04-26,gf,174.6
2018-08-11,2018-08-12,2018-03-13,ch,174.6
2018-01-06,2018-01-08,2017-12-26,jp,174.6
2018-11-17,2018-11-18,2018-10-15,gf,174.6
2018-08-11,2018-08-12,2018-03-13,ch,174.6
2018-12-14,2018-12-15,2018-11-12,gf,174.6
2018-08-11,2018-08-12,2018-03-13,ch,174.6
2018-01-12,2018-01-13,2017-11-29,gf,174.6
2018-08-11,2018-08-12,2018-03-13,ch,174.6
2018-02-07,2018-02-08,2018-02-07,lu,174.8
2018-01-11,2018-01-12,2018-01-11,gf,175
2018-03-14,2018-03-15,2018-03-07,null,175
2018-06-06,2018-06-07,2018-05-09,de,175
2018-05-24,2018-05-25,2018-05-10,null,175
2018-04-28,2018-04-29,2018-04-28,ru,175.1
2018-05-03,2018-05-04,2018-05-02,ch,175.1
2018-12-13,2018-12-14,2018-08-25,gf,175.2
2018-04-25,2018-04-26,2018-04-25,gf,175.3
2018-11-13,2018-11-14,2018-09-30,ch,175.3
2018-06-01,2018-06-02,2018-05-31,ch,175.3
2018-05-31,2018-06-01,2018-05-30,us,175.3
2018-11-12,2018-11-13,2018-11-07,ch,175.6
2018-11-25,2018-11-26,2018-04-22,ch,175.6
2018-07-06,2018-07-07,2018-03-06,gb,175.6
2018-12-01,2018-12-02,2018-11-14,ch,175.6
2018-05-19,2018-05-20,2018-05-01,gf,175.6
2018-07-06,2018-07-07,2018-03-06,gb,175.6
2018-06-21,2018-06-22,2018-06-12,us,175.6
2018-05-07,2018-05-08,2018-05-06,de,175.6
2018-05-18,2018-05-19,2018-05-18,gf,175.6
2018-03-16,2018-03-17,2017-12-06,ch,175.6
2018-12-03,2018-12-04,2018-11-27,ch,175.6
2018-09-09,2018-09-10,2018-09-09,se,175.6
2018-07-13,2018-07-14,2018-07-11,ch,175.6
2018-10-13,2018-10-14,2018-10-08,ch,175.6
2018-12-07,2018-12-08,2018-11-30,null,175.6
2018-07-27,2018-07-28,2018-03-06,us,175.6
2018-01-22,2018-01-23,2018-01-22,gf,175.6
2018-07-28,2018-07-29,2017-12-31,us,175.6
2018-01-23,2018-01-24,2018-01-22,gf,175.6
2018-05-26,2018-05-27,2018-03-21,jp,175.6
2018-11-12,2018-11-13,2018-11-07,fr,175.6
2018-11-24,2018-11-25,2018-11-20,ch,175.6
2018-06-04,2018-06-05,2018-06-04,gf,175.8
2018-02-14,2018-02-15,2018-02-09,ch,176
2018-05-08,2018-05-09,2018-05-07,ch,176.3
2018-10-02,2018-10-03,2018-09-07,ch,176.3
2018-10-03,2018-10-04,2018-09-21,null,176.3
2018-10-16,2018-10-17,2018-10-07,de,176.3
2018-03-06,2018-03-07,2018-03-06,nl,176.3
2018-11-19,2018-11-20,2018-10-31,gb,176.3
2018-02-07,2018-02-08,2017-12-13,ch,176.3
2018-11-19,2018-11-20,2018-10-31,gb,176.3
2018-07-04,2018-07-05,2018-07-02,ch,176.3
2018-11-05,2018-11-06,2018-10-23,de,176.3
2018-03-12,2018-03-13,2018-03-06,gf,176.3
2018-07-12,2018-07-13,2018-06-05,ch,176.3
2018-06-23,2018-06-24,2018-05-04,gf,176.4
2018-09-11,2018-09-12,2018-05-20,nz,176.6
2018-12-20,2018-12-21,2018-12-10,at,176.6
2018-11-02,2018-11-03,2018-10-26,ch,176.6
2018-07-14,2018-07-15,2018-07-03,ch,176.6
2017-12-24,2017-12-26,2017-12-21,de,176.6
2018-12-01,2018-12-02,2018-12-01,ch,176.6
2018-07-14,2018-07-15,2018-07-03,ch,176.6
2018-12-19,2018-12-20,2018-12-16,ch,176.6
2018-05-19,2018-05-20,2018-05-19,ch,176.6
2018-07-16,2018-07-17,2018-06-23,us,176.6
2018-11-02,2018-11-03,2018-10-26,es,176.6
2018-06-29,2018-06-30,2018-06-18,us,176.6
2018-11-19,2018-11-20,2018-10-26,gf,176.6
2018-01-29,2018-01-30,2018-01-14,ch,176.6
2018-04-23,2018-04-24,2018-04-19,ch,176.7
2018-03-21,2018-03-22,2018-02-27,gf,176.7
2018-05-02,2018-05-03,2018-03-24,jp,176.7
2018-10-15,2018-10-16,2018-10-09,ch,176.7
2018-04-23,2018-04-24,2018-04-13,ch,176.7
2018-04-23,2018-04-24,2018-04-20,ch,176.7
2018-08-21,2018-08-22,2018-08-15,nl,176.7
2018-06-01,2018-06-02,2018-05-15,nl,176.9
2018-06-01,2018-06-02,2018-05-15,nl,176.9
2018-04-30,2018-05-02,2017-11-09,de,177
2018-06-28,2018-06-29,2018-05-08,ch,177
2018-03-19,2018-03-21,2017-11-09,de,177
2018-04-11,2018-04-12,2018-04-10,ch,177
2018-05-07,2018-05-09,2017-11-09,de,177
2018-02-02,2018-02-04,2017-11-09,de,177
2018-03-26,2018-03-28,2017-11-09,de,177
2018-05-17,2018-05-18,2018-05-06,gf,177
2018-05-14,2018-05-16,2017-11-09,de,177
2018-04-09,2018-04-11,2017-11-09,de,177
2018-02-19,2018-02-21,2017-11-09,de,177
2018-05-21,2018-05-23,2017-11-09,de,177
2018-04-16,2018-04-18,2017-11-09,de,177
2018-05-28,2018-05-30,2017-11-09,de,177
2018-04-23,2018-04-25,2017-11-09,de,177
2018-03-05,2018-03-07,2017-11-09,de,177
2018-04-23,2018-04-24,2018-04-23,ch,177.3
2018-05-29,2018-05-30,2018-05-28,gf,177.3
2018-04-05,2018-04-06,2018-03-01,de,177.6
2018-10-03,2018-10-04,2018-10-03,ch,177.6
2018-02-05,2018-02-06,2017-12-28,vn,177.6
2018-06-14,2018-06-15,2018-06-14,ch,177.6
2018-07-19,2018-07-20,2018-07-11,ch,177.6
2018-11-24,2018-11-25,2018-11-15,gf,177.6
2018-02-24,2018-02-26,2018-02-14,ch,177.6
2018-03-15,2018-03-16,2018-03-15,ch,177.6
2018-07-23,2018-07-24,2018-06-29,cl,177.6
2017-12-29,2017-12-30,2017-11-29,be,177.6
2018-03-08,2018-03-09,2018-03-08,ch,177.6
2018-08-18,2018-08-19,2018-07-12,de,177.6
2018-11-19,2018-11-20,2018-11-07,ch,177.6
2018-07-04,2018-07-05,2018-07-03,fr,177.6
2018-02-19,2018-02-20,2018-02-09,us,177.6
2018-07-12,2018-07-13,2018-07-01,us,177.6
2018-01-25,2018-01-26,2018-01-11,cn,177.6
2018-07-18,2018-07-19,2018-07-18,mx,177.6
2018-02-19,2018-02-20,2018-02-09,us,177.6
2018-03-03,2018-03-04,2018-02-17,gf,177.6
2018-07-28,2018-07-29,2018-07-24,de,177.6
2018-06-17,2018-06-18,2018-06-12,ch,177.8
2018-04-28,2018-04-29,2018-02-25,ch,177.8
2018-11-08,2018-11-09,2018-03-27,de,177.9
2018-06-28,2018-06-29,2018-06-27,gf,177.9
2018-05-16,2018-05-17,2018-05-09,de,177.9
2018-07-19,2018-07-20,2018-07-14,cn,178
2018-07-20,2018-07-21,2018-07-11,ch,178
2018-05-08,2018-05-09,2018-04-30,fr,178.1
2018-09-24,2018-09-25,2018-08-03,ch,178.3
2018-09-27,2018-09-28,2018-09-27,ch,178.3
2018-03-08,2018-03-09,2018-03-08,ch,178.3
2018-09-08,2018-09-09,2018-09-07,ch,178.3
2018-11-29,2018-11-30,2018-06-27,ch,178.3
2018-09-28,2018-09-29,2018-08-04,us,178.6
2018-08-07,2018-08-08,2017-11-29,au,178.6
2018-08-07,2018-08-08,2017-11-29,au,178.6
2018-08-07,2018-08-08,2017-11-29,au,178.6
2018-07-06,2018-07-07,2018-04-03,au,178.6
2018-10-03,2018-10-04,2018-10-03,pl,178.6
2018-10-13,2018-10-14,2018-10-11,it,178.6
